"","CTRL_amore.gml","CTRL_barbatoa.gml","CTRL_barbatog.gml","CTRL_cappa.gml","CTRL_cioffi.gml","CTRL_conte.gml","CTRL_davino.gml","CTRL_denapoli.gml","CTRL_dibernardo.gml","CTRL_dimatteo.gml","CTRL_iadanza.gml","CTRL_incoronato.gml","CTRL_lavoro.gml","CTRL_longo.gml","CTRL_palma.gml","CTRL_penta.gml","CTRL_Rachele.gml","CTRL_rubino.gml","CTRL_salerno.gml","CTRL_tufano.gml"
"V1","1","2","4","5","2","8","3","4","10","1","10","4","9","9","10","7","9","4","10","2"
"V2","5","4","1","4","10","5","2","5","8","2","5","2","8","7","2","3","1","3","7","8"
"V3","4","9","4","5","2","8","3","6","10","1","1","4","9","9","10","6","9","9","3","2"
"V4","2","10","3","8","7","9","6","1","6","9","3","1","3","8","1","1","3","7","5","4"
"V5","4","9","4","5","4","3","3","9","10","1","1","4","9","9","10","6","9","9","3","5"
"V6","7","3","10","3","1","1","8","2","7","4","4","7","4","5","5","2","4","2","4","9"
"V7","9","5","9","1","2","7","7","8","5","6","6","5","10","9","7","9","2","10","2","10"
"V8","5","10","3","4","7","9","2","5","6","2","5","2","3","8","2","3","1","3","7","4"
"V9","4","9","4","5","2","8","3","6","10","1","1","4","9","9","10","6","9","9","3","2"
"V10","5","10","3","4","7","9","2","5","6","2","5","2","3","8","2","3","1","3","7","4"
"V11","9","5","9","1","2","7","7","8","5","6","6","5","10","9","7","9","2","10","2","10"
"V12","5","4","1","4","10","5","2","5","8","2","5","2","8","7","2","3","1","3","7","8"
"V13","1","2","4","5","2","8","3","4","10","1","10","4","9","9","10","7","9","4","10","2"
"V14","5","4","1","4","10","5","2","5","8","2","5","2","8","7","2","3","1","3","7","8"
"V15","1","2","4","5","2","8","3","4","10","1","10","4","9","9","10","7","9","4","10","2"
"V16","5","10","3","4","7","9","2","5","6","2","5","2","3","8","2","3","1","3","7","4"
"V17","1","2","4","5","2","8","3","4","2","1","10","4","9","9","7","7","9","4","10","2"
"V18","5","4","1","4","10","5","2","5","8","2","5","2","8","7","2","3","1","3","7","8"
"V19","4","9","8","6","2","8","3","6","10","1","1","4","9","10","5","6","9","9","3","2"
"V20","2","3","3","6","7","9","6","1","6","2","3","2","3","10","1","1","3","7","5","4"
"V21","2","3","6","8","4","3","6","1","1","9","3","1","10","2","1","1","3","7","5","5"
"V22","7","3","10","3","1","1","8","2","7","4","4","7","4","5","5","2","4","2","4","9"
"V23","2","3","6","8","4","3","6","1","1","9","3","1","10","2","1","1","3","7","5","5"
"V24","7","3","10","3","1","9","8","2","7","4","4","7","4","5","5","2","4","2","4","4"
"V25","2","3","6","8","4","3","6","1","1","9","3","1","10","2","1","1","3","7","5","5"
